iter	Passed	Remaining
790	4098	1082
791	4103	1077
792	4108	1072
793	4113	1067
794	4118	1062
795	4124	1056
796	4129	1051
797	4134	1046
798	4139	1041
799	4145	1036
800	4151	1031
801	4157	1026
802	4163	1021
803	4169	1016
804	4175	1011
805	4182	1006
806	4187	1001
807	4194	996
808	4200	991
809	4207	986
810	4213	981
811	4219	976
812	4225	971
813	4232	967
814	4238	962
815	4244	957
816	4251	952
817	4259	947
818	4265	942
819	4271	937
820	4277	932
821	4283	927
822	4290	922
823	4296	917
824	4303	912
825	4309	907
826	4315	902
827	4322	897
828	4328	892
829	4334	887
830	4340	882
831	4346	877
832	4353	872
833	4360	867
834	4367	862
835	4379	859
836	4386	854
837	4392	849
838	4398	844
839	4404	838
840	4411	833
841	4416	828
842	4422	823
843	4428	818
844	4434	813
845	4440	808
846	4447	803
847	4452	798
848	4458	793
849	4465	787
850	4471	782
851	4477	777
852	4482	772
853	4488	767
854	4494	762
855	4500	757
856	4507	752
857	4513	746
858	4518	741
859	4524	736
860	4530	731
861	4535	726
862	4541	720
863	4546	715
864	4551	710
865	4556	705
866	4561	699
867	4567	694
868	4573	689
869	4578	684
870	4583	678
871	4589	673
872	4594	668
873	4599	663
874	4605	657
875	4610	652
876	4616	647
877	4621	642
878	4627	637
879	4632	631
880	4637	626
881	4643	621
882	4648	615
883	4653	610
884	4659	605
885	4664	600
886	4669	594
887	4675	589
888	4680	584
889	4686	579
890	4691	573
891	4696	568
892	4701	563
893	4707	558
894	4712	552
895	4716	547
896	4723	542
897	4728	537
898	4733	531
899	4738	526
900	4744	521
901	4749	515
902	4754	510
903	4759	505
904	4764	500
905	4769	494
906	4774	489
907	4780	484
908	4786	479
909	4791	473
910	4796	468
911	4801	463
912	4807	458
913	4812	452
914	4817	447
915	4822	442
916	4827	436
917	4833	431
918	4838	426
919	4843	421
920	4848	415
921	4853	410
922	4858	405
923	4864	400
924	4869	394
925	4874	389
926	4880	384
927	4885	379
928	4891	373
929	4896	368
930	4902	363
931	4907	358
932	4913	352
933	4918	347
934	4923	342
935	4928	337
936	4933	331
937	4939	326
938	4944	321
939	4949	315
940	4955	310
941	4960	305
942	4966	300
943	4971	294
944	4976	289
945	4981	284
946	4986	279
947	4990	273
948	4996	268
949	5001	263
950	5006	257
951	5011	252
952	5016	247
953	5022	242
954	5026	236
955	5032	231
956	5037	226
957	5042	221
958	5048	215
959	5053	210
960	5058	205
961	5063	199
962	5068	194
963	5073	189
964	5078	184
965	5084	178
966	5089	173
967	5094	168
968	5099	163
969	5104	157
970	5110	152
971	5115	147
972	5121	142
973	5126	136
974	5131	131
975	5137	126
976	5143	121
977	5147	115
978	5153	110
979	5158	105
980	5165	100
981	5170	94
982	5175	89
983	5180	84
984	5185	78
985	5190	73
986	5196	68
987	5201	63
988	5206	57
989	5211	52
990	5216	47
991	5221	42
992	5227	36
993	5233	31
994	5238	26
995	5243	21
996	5248	15
997	5253	10
998	5258	5
999	5263	0
